nomJeux,desc,sortie,test,avis,key
God of War (2018) sur PS4,"Dans ce nouvel épisode de God Of War, le héros évoluera dans un monde aux inspirations nordiques, très forestier et montagneux. Dans ce beat-them-all, un enfant accompagnera le héros principal, pouvant apprendre des actions du joueur, et même gagner de l'expérience.",Sortie: 20 avril 2018,20/20,17.6/20,0
The Legend of Zelda : Breath of the Wild,"The Legend of Zelda : Breath of the Wild est un jeu d'action/aventure. Link se réveille d'un sommeil de 100 ans dans un royaume d'Hyrule dévasté. Il lui faudra percer les mystères du passé et vaincre Ganon, le fléau. L'aventure prend place dans un gigantesque monde ouvert et accorde ainsi une part importante à l'exploration. Le titre a été pensé pour que le joueur puisse aller où il veut dès le début, s'éloignant de la linéarité habituelle de la série.",Sortie: 3 mars 2017,20/20,17.3/20,1
The Legend of Zelda : The Wind Waker sur NGC,"Dans The Legend of Zelda : The Wind Waker, vous incarnez Link dans sa quête pour sauver sa sœur. Découvrez Hyrule sous les flots dans ce jeu d'aventure en style cartoon, et naviguez au dos du Lion Rouge en vous orientant grâce à la Baguette du Vent pour explorer toutes les îles de ce vaste océan et dévoiler les secrets et les donjons qu'elles renferment.",Sortie: 3 mai 2003,20/20,18.9/20,2
The Binding of Isaac : Repentance,"The Binding of Isaac : Repentance est un DLC sur PC ajoutant de nombreux contenus supplémentaires. Il inclura notamment le mod Antibirth qui rajoute plus de 80 ennemies, 16 boss ainsi que des centaines de salles.",Sortie: 31 mars 2021,19/20,16.7/20,3
The Last of Us Part II sur PS4,"Au centre de l'intrigue du premier volet, nous retrouvons à nouveau Joel et Ellie plus déterminés que jamais à éradiquer les infectés jusqu'au dernier. Se déroulant à nouveau dans un monde post apocalyptique, le duo toujours aussi soudé devra prendre les décisions qui s'imposent afin de survivre un seul jour de plus à cette pandémie.",Sortie: 19 juin 2020,19/20,15.3/20,4
Death Stranding Director's Cut,"Death Stranding est un jeu d'action dans lequel la mort fait partie intégrante du gameplay. La mort est un des thèmes principaux, et les développeurs ont fait en sorte que les joueurs ne la voient pas comme une fin. L'histoire s'annonce sombre dans cet univers futuriste et fantastique.",Sortie: 8 novembre 2019,19/20,14.7/20,5
Disco Elysium,"Disco Elysium est un RPG et jeu d'enquête au gameplay isométrique développé par ZA/UM et édité par Humble Bundle. Vous y incarnez un détective qui doit résoudre une grande enquête se déroulant dans un XXème siècle alternatif, dans la ville cotière de Revachol.",Sortie: 15 octobre 2019,19/20,16.8/20,6
Red Dead Redemption II,"Suite du précédent volet multi récompensé, Red Dead Redemption II nous permet de nous replonger sur PS4 dans une ambiance western synonyme de vastes espaces sauvages et de villes malfamées. L'histoire se déroule en 1899, avant le premier Red Dead Redemption, au moment où Arthur Morgan doit fuir avec sa bande à la suite d'un braquage raté.",Sortie: 26 octobre 2018,19/20,17/20,7
Valkyria Chronicles 4 : Complete Edition,"Le continent imaginaire d'Europa est pris dans les flammes de la seconde guerre européenne entre la Fédération Atlantique et l'Alliance Impériale Autocratique de l'Est. Alors que la victoire semble de plus en plus compromise pour la Fédération, cette dernière lance l'Opération Croix du Nord. Le commandant Claude Wallace et ses amis d'enfance sont envoyés dans le cadre de cette opération... et vous de découvrir une terrible vérité.",Sortie: 25 septembre 2018,19/20,17.1/20,8
Okami HD,"Okami est un jeu d'aventure et d'action sur PC. Le titre dispose d'un aspect graphique très particulier, et vous propose d'incarner la déesse Amaterasu réincarnée en un magnifique loup blanc, dans une quête pour redonner de la vie et de la couleur dans votre monde, terrorisé par de nombreux ennemis qui font régner les ténèbres. Battez-vous au moyen d'un pinceau, véritable prolongement du personnage qu'on incarne, et utilisez-le également pour avancer dans l'histoire.",Sortie: 12 décembre 2017,19/20,18.4/20,9
Super Mario Odyssey sur Switch,"Super Mario Odyssey est un jeu de plate-forme où la princesse Peach a été enlevée par Bowser. Pour la sauver, Mario quitte le royaume Champignon à bord de l'Odyssey. Accompagné de Chappy, son chapeau vivant, il doit parcourir différents royaumes et faire tout pour vaincre, une nouvelle fois, le terrible Bowser.",Sortie: 27 octobre 2017,19/20,17.2/20,10
Divinity : Original Sin II - Definitive Edition,Divinity : Original Sin II est un RPG où vous choisissez votre race et et votre background. Le monde réagit en fonction de vos choix. Rassemblez votre équipe et affrontez vos adversaires avec différents éléments de combat tactique au tour par tour. Explorez un vaste monde seul ou avec 4 joueurs en coopératif.,Sortie: 14 septembre 2017,19/20,17.2/20,11
Zero Escape : The Nonary Games,"Zero Escape: The Nonary Games est un jeu d'aventure jouable en solo. Enlevées puis amenées dans un lieu inconnu, neuf personnes se retrouvent forcées de participer à un jeu diabolique orchestré par l’énigmatique Zero. Pourquoi ? A qui faire confiance ?",Sortie: 24 mars 2017,19/20,17.7/20,12
NieR Automata,"Nier Automata est un jeu d'action de type RPG jouable en solo. Le titre amène le joueur dans un futur lointain où la Terre a été envahie par des formes extra-terrestres armées de ""bio-machines"". Après s'être réfugiée sur la lune, l'humanité envoie sur leur planète natale des androïdes capable de lutter avec les extra-terrestres et reconquérir la planète.",Sortie: 10 mars 2017,19/20,17.6/20,13
Dishonored 2,"Suite du primé Dishonored, un jeu à la première personne à la croisée des genres action et infiltration se déroulant dans un univers steampunk uchronique. Pouvoirs, assassinats, complots sont au programme.",Sortie: 11 novembre 2016,19/20,18/20,14
Forza Horizon 3,"Jeu de course en monde ouvert, Forza Horizon 3 vous donne accès à des centaines de véhicules. Le joueur pourra arpenter à toute vitesse les paysages d'Australie. De très nombreuses épreuves sont au programme et les pilotes du monde entier peuvent s'affronter dans les mêmes conditions que dans le mode solo. Le jeu est en Xbox Play Anywhere, ce qui signifie qu'une même clé est activable sur Windows 10 comme sur Xbox One.",Sortie: 27 septembre 2016,19/20,17.2/20,15
Umineko no Naku Koro ni : Shinjitsu to Gensô no Symphony,Umineko no Naku Koro ni est un visual novel. Le joueur incarne le jeune Battler Ushiromiya qui assiste à une série de meurtres brutaux et incompréhensible. Son objectif sera alors de les résoudre pour savoir s'ils ont été commis par un être humain ou une entité surnaturelle.,Sortie: 8 juillet 2016,19/20,17.5/20,16
Inside,Inside est un jeu d'aventure et d'exploration où le joueur incarne un petit garçon qui doit s'en sortir dans une société étrange et autoritaire. Le joueur alterne entre les phases de plate-forme et d'énigmes.,Sortie: 29 juin 2016,19/20,19/20,17
